Location_Name,Name,Address,City,County,State_Province,Zip Code,Phone,Category,Category 1,Category 2,Category 3,Category 4,Latitude,Longitude,Email Address,Web Site,Facebook,Instagram
Blue Licks Grocery, ,US Highway 68 W,Carlisle,Nicholas,KY,40311,(859) 289-2604,Grocery and Gas,13.1,,,,38.43761264,-83.9912024,,,Blue Licks Farmers Market - Home | Facebook,
Boone Gap ,,,Berea,Madison ,KY,,,Boone Trace Markers,20,,,,37.52853515,-84.31274413,,,,
Boone Trail Motel,,US25 East North,Middlesboro,Bell,KY,40965,(606) 248-1340,Lodging,2.2,,,,36.63261464,-83.70388612,,,"www.boonetrailmotel.com
",
Brushy Fork Creek ,,"37 Cherry Ln Ct, Berea, KY 40403",,Madison,KY,,,Recreation,11.1,,,,37.56569604,-84.28845009,,,,
Bryant's Cove,Mackeline,931 Forest Ave,Maysvile,Mason,KY ,41056,(606) 584-4062,Dining,3.1,3.2,3.5,,38.64121,-83.74469,,https://mackelineandcompany.com/,,
Buck's Grill,,177E 2nd St,Maysville ,Mason,KY,41056,(606) 584-6939,Dining,3.2,,,,38.64584,-83.75986,,,https://www.facebook.com/Bucks-Grill-353682561401009/,
Burger Hut,,"105 Park Ave,",Pineville,Bell,KY,40977,(606) 337-5476,Dining,3.2,,,,36.75960859,-83.69599809,,,,
Camp Wildcat Battlefield,,"761 S Laurel Rd, London, KY 40744",London,Laurel,KY,40744,"(606) 864-4163
",Cultural,9.4,,,,37.27678127,-84.20057095,,,,
Castle Rock ,,,,Rockcastle,KY,,,Boone Trace Markers,20,,,,,,,,,
Cedar Hill Retreat,,3417 Crooked Creek Rd.,Carlisle,Nicholas,KY,40902.90584,859-289-2833,Lodging,2.3,1.6,,,38.42134947,-84.1049359,,,,
Cedar Spring Farm,Terrie,Mount Olivet,Mt Olivet,Robertson,KY,41064,859-640-9301,Shopping/Retail,14.3,,,,"36.336676632102154, ",-86.21228392,,,,
Cheddar's Scratch Kitchen,,"125 Faith Assembly Church Rd London, KY 40741",London,Laurel,KY,40701,(606) 330-0163,Dining,3.4,,,,37.21444307,-84.11953416,,,,
Clay Wildlife Management Area,Kentucky Dept. of Fish and WildlifenResources,1450 Cassidy Creek Rd.,Carlisle,Nicholas,KY,41188.24243,800-858-1550,Recreation,11.1,11.3,11.4,7.1,38.34109335,-83.91921272,,,,
Clay Wildlife Management Area,Kentucky Dept. of Fish and WildlifenResources,1449 Cassidy Creek Rd.,Carlisle,Nicholas,KY,40311,800-858-1549,Recreation,14.2,,,,38.34109335,-83.91921272,,,,
Conley's Drive-In Restaurant,,1693 Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-1741,Dining,3.2,,,,36.60733719,-83.70927692,,,,
County Grocery & Liquors,none found,4450 Myers Rd,Carlisle,Nicholas,KY,41885.73185,(859) 289-8400,Shopping/Retail,14.3,,,,38.35239347,-83.94850379,,,,
Craig's Downtown,,"400 Millersburg Rd, Paris, KY 40361",Paris,Bourbon,KY,40361,(859) 340-4193,Dining,3.4,,,,38.21361515,-84.24913363,,,https://www.facebook.com/Cilantro-Grilled-Food-Tacos-100510731820719/,
Cumberland Ford ,,,,Bell ,KY,,,Boone Trace Markers,20,1.3,,,36.763912,-83.689667,,,,
Cumberland Gap National Historical Park,, 91 Bartlett Park Rd,Middlesboro,Bell,KY,40965,(606) 248-2817,Recreation,11.1,20,15.1,14.3,36.63239274,-83.62220874,,https://www.nps.gov/cuga/index.htm,https://www.nps.gov/cuga/index.htm,
Cumberland Manor Bed and Breakfast,,208 Arthur Heights,Middlesboro,Bell,KY,40965,(606) 248-4299,Lodging,2.1,,,,36.61005908,-83.71674345,,, http://cumberlandmanorbedandbreakfast.com/index.htm,
Daniel Boone DAR Marker ,,,Berea,Madison ,KY,,,Boone Trace Markers,20,,,,37.571781,-84.288422,,,,
Daniel Boone National Forest,,"700 Bypass Rd, London, KY 40744",London,Laurel ,KY,40741,(859) 745-3100,Campground,7.2,,,,37.0995813,-84.30091303,,,,
Desha's Restaurant and Bar,Nick,1166 US Highway 68,Maysville,Mason,KY,41056,(606) 564-9275,Dining,3.4,6.2,,,38.63795,-83.78704,,https://www.deshasmaysville.com/?fbclid=IwAR3YDSThZooAQh0hmW5uHlqSv6GTtlKx1P7BV3dX-fXP7JMQgr81VDlpKkM,https://www.facebook.com/deshasmays/about/?ref=page_internal,
Dick's on Main,,118 Main St,Carlisle,Nicholas,KY,40311,(859) 289-7582,Dining,3.4,3.2,,,38.31227113,-84.02832605,,,,
Dominion Outdoors Kentucky,,1014 N 12th St,Middlesboro,Bell,KY,40977,(606) 896-8085,Outfitters,4.2,,,,36.75670881,-83.68170514,,,,
Dr. Thomas Walker State Historic Site,,4929 Ky 459,Barbourville,Knox,KY,40906,(606) 546-4400,Cultural,9.4,,,,36.83888477,-83.9190264,,,,
Dr.Thomas Walker Cabin,,,Barbourville ,Bell,KY,40906,(606) 546-4400,Boone Trace Markers,1.3,,,,36.83891911,-83.91905859,,,,
Dunham's Sports,,"833 Eastern Bypass, Richmond, KY 40475",Richmond,Madison,KY,40475,(859) 624-0265,Shopping/Retail,14.5,,,,38.62791,-83.79409,,https://www.dunhamssports.com/on/demandware.store/Sites-Dunhams-Site/en_US/Stores-Details?StoreID=159,,
Durham’s Pit BBQ,,"219 Commercial Dr London, KY 40744",London,Laurel,KY,40704,(606) 260-8029,Dining,3.4,,,,37.10317933,-84.06523325,,,,
EAT Gallery,,46 W 2nd St,Maysville ,Mason,KY,41056,(606) 564-5578,Shopping/Retail,14.3,9.1,9.2,,38.64888,-83.76615,info@eatgallery.com,https://eatgallery.com/,https://www.facebook.com/EATgallery/,
Econo Lodge,,"1623 Cumberland Avenue,",Middlesboro,Bell,KY,40965,(877) 787-1313,Lodging,2.2,,,,36.60700896,-83.70800378,,,https://www.choicehotels.com/kentucky/middlesboro/econo-lodge-hotels/ky363?source=gyxt,
El Dorado Mexican Restaurant,,1612 Richmond St,Mt. Vernon,Rockcastle,KY,40456,(606) 256-3622,Dining,3.4,,,,37.37571643,-84.3307429,,,,
Engle's Drive In,,235 Riverview Rd,Pineville,Bell,KY,40977,(606) 337-6145,Dining,3.2,,,,36.76755501,-83.71614616,,,,
Flat Lick ,,,Barbourville ,Bell,KY,40935,,Boone Trace Markers,20,1.3,,,36.838545,-83.77107,,,,
Forest Cabin at Sinking Creek,,"182 Thrash Rock Rd, London, KY 40741",London,Laurel,KY,40701,,Lodging,2.2,,,,37.10074006,-84.21223283,,https://www.airbnb.com/rooms/13782115?guests=1&adults=1&af=8781787&c=.pi0.pk92333422234_411204701479_c_858324571899&gclid=CjwKCAjwrPCGBhALEiwAUl9X0zbKzazEU6kpzpbFqd1soN3btBgQu3pRDZtJApqjStT1U3mvv2TvaBoC7MUQAvD_BwE&source_impression_id=p3_1625111001_AZi%2Bzfq5BBHDGLRQ,,
Fort Booneborough State Park,,,Ft. Boonesborough,Madison ,KY,,,Boone Trace Markers,20,,,,37.89401852,-84.27039187,,,,
French Quarter Inn,,25 E McDonald Pkwy,Maysville ,Mason,KY ,41056,(606) 564-8000,Lodging,2.3,,,,38.64871,-83.76307,,https://www.tripadvisor.com/Hotel_Review-g39639-d481868-Reviews-French_Quarter_Inn-Maysville_Kentucky.html,,
Grateful Ed's BBQ,,202 Court Square,Barbourville,Knox,KY,40906,(606) 645-4227,Dining,3.4,,,,36.86605017,-83.88913095,,https://m.facebook.com/GratefulEdBBQ/,,
Happiness Hills Farm,,"8682 Battlefield Memorial Hwy, KY 40403",Berea,Madison,KY,40403,(859) 582-7014,Lodging,2.5,,,,37.57567536,-84.20902813,,http://www.happinesshillsfarm.com/,,
Harriet Beecher Stowe Museums,,2124 Old Main St,Maysville ,Mason,KY ,41056,(606) 759-4860,Cultural,9.3,9.4,,,38.61481,-83.80854,,https://www.kentuckytourism.com/maysville/attractions/museums/harriet-beecher-stowe-slavery-freedom-museum,,
Hazel Patch & Woods Blockhouse,,,,,,,,Boone Trace Markers,20,,,,37.23100944,-84.10262033,,,,
Hensley Settlement,,91 Bartlett Park Rd,Middlesboro,Bell,KY,40965,,Recreation,11.1,,,,36.60694544,-83.67327256,https://www.nps.gov/cuga/learn/photosmultimedia/Hensley-Settlement.htm,,,
Herndon J Evans Lodge,,1050 State Park Rd,Pineville,Bell,KY,40977,(800) 325-1712,Dining,3.4,,,,36.73609454,-83.73798911,,,http://herndon-lodge.edan.io/,
Hidden Water's, ,10299 Maysville Rd,Carlisle,Nicholas,KY,40311,859-289-5507,Dining,3.4,,,,38.4320094,-83.99578914,,hidden-waters.edan.io,,
,,,,,,,,,,,,,,,,,,
Historic Lisle House ,,,Ft. Boonesborough,Madison ,KY,,,Boone Trace Markers,20,,,,37.804294,-84.268555,,,,
Historic Nathaniel Hart House ,,,Ft. Boonesborough,Madison ,KY,,,Boone Trace Markers,20,,,,37.89183816,-84.26696185,,,,
Historic Red House ,,,Richmond,Madison ,KY,,,Boone Trace Markers,20,,,,37.83236,-84.27247,,,,
Hutchinson's Country Ham,,24 E 2nd St,Maysville ,Mason,KY,41056,(606) 564-3797,Grocery and Gas,13.5,13.1,,,38.64732,-83.76372,info@hutchinsoncountryham.com,,https://www.facebook.com/hutchinsonscountryham/,
John Boy's Pizzeria and More,,37 W Main St,Brodhead,Rockcastle,KY,40409,(606) 758-0008,Dining,3.4,,,,37.40333973,-84.4152559,,,,
Johnson Creek Covered Bridge,,Covered Bridge Rd,Mt Olivet ,Robertson ,KY,41064,,Cultural,9.2,14.3,14.5,,"38.481991861878576, ",-83.97828382,,,,
Just Kik-N-It Ranch,,"13855 S Wilderness Rd, Livingston, KY 40445",Livingston,Rockcastle,KY,40409,(606) 308-3721,Recreation,11.3,,,,37.36110997,-84.18491719,,,,
Kastle Inn Motel,,2184 S Wilderness Rd,Mt Vernon,Rockcastle,KY,40456,(606) 256-5156,Lodging,2.2,,,,37.35155879,-84.30154612,,,,
Kentucky Artisan Center,,"200 Artisan Way, Berea, KY 40403",Berea,Madison,KY,40403,(859) 985-5448,Information,15.1,,,,37.5966853,-84.31221086,,http://www.kentuckyartisancenter.ky.gov/,,
Kentucky Gateway Museum Center,,215 Sutton St,Maysville ,Mason,KY ,41056,(606) 564-5865,Cultural,9.3,9.4,9.2,,38.64832,-83.76699,director@kygmc.org,https://www.kygmc.org/,https://www.facebook.com/kygmc/,
Kentucky Music Hall of Fame,,2590 Richmond Street,Mt Vernon,Rockcastle,KY,40456,(606) 256-1000,Points of Interest,1.2,9.3,,,37.38992079,-84.33200969,kentuckymusichalloffame@gmail.com,kentuckymusichalloffame.com,,
Kentucky Outdoorsman,,"8833 US-25, Corbin, KY 40701",Corbin,Laurel,KY,40701,"(606) 528-6208
",Shopping/Retail,14.5,4.2,,,36.98861225,-84.08056892,,,,
Knox Historical Museum,,"196 Daniel Boone Dr,",Barbourville,Knox,KY,40906,(606) 546-7581,Cultural,9.3,,,,36.86575085,-83.88731005,,,,
La Esperanza,,471 N 12th St,Pineville,Bell,KY,40965,(606) 248-9252,Dining,3.4,,,,36.76151743,-83.69616023,,,,
Ladobee's Steakhouse,Robert Banta,4933 Maysville Rd.,Carlisle,Nicholas,KY,40311,859-289-4800,Dining,3.3,,,,38.34952211,-84.04683987,,,,
Laurel Grocery Co,,129 Barbourville Rd,London,Laurel,KY,40701,(606) 878-6601,Grocery and Gas,13.1,,,,37.11007096,-84.06566873,,,,
Laurel Oaks Golf Club,,808 US-62,Maysville ,Mason,KY ,41056,(606) 759-5011,Recreation,11,,,,38.61186,-83.81752,,,https://www.facebook.com/LaurelOaksMaysville/,
Lawrence Creek Campground,John,2113 Mary Ingles Hwy,Maysville ,Mason,KY,41056,(606) 584-7805,Campground,7.1,,,,38.70485,-83.83438,John@lawrencecreekcampground.com,https://lawrencecreekcampground.com/,https://www.facebook.com/Lawrence-Creek-Campground-246123055930178/,
Lazy River Kayak & Tube Rentals,,319 US 119 ,Pineville ,Bell,KY,(423) 300-8531,,Recreatoion,12,,,,36.78004693,-83.69219417,,,,
Lee House Inn,,100 W Front Street,Maysville,Mason,KY,41056,(606) 777-5177,Lodging,2.3,,,,38.65004,-83.76586,info@leehouseinn.com,https://leehouseinn.com/,https://www.facebook.com/leehouseinn/,
Lee's Food Mart,,12645 Robert L Madon Byp,Pineville,Bell,KY,40977,(606) 337-5030,Grocery and Gas,13.2,,,,36.61982181,-83.720132,,,,
Levi Jackson Wilderness Road Park,,"998 Levi Jackson Rd, London, KY 40744",London,Laurel,KY,40744,(606) 330-2130,Parks,20,12.2,,,37.08401016,-84.05493765,,,,
Levi Jackson Wilderness Road Park,,"998 Levi Jackson Rd, London, KY 40744",London,Laurel ,KY,40741,(606) 330-2130,Parks,10,,,,37.08407007,-84.05492692,,,,
Lillian June,,122 court square,Barbourville,Knox,KY,40906,(606) 546-4111,Shopping/Retail,14.6,,,,36.86600008,-83.88857235,,https://www.lillianjune.com/index.cfm?,,
Limestone Grille,," 75 Holt Dr, Mt Vernon, KY 40456",Mt. Vernon,Rockcastle,KY,40456,(606) 256-0131,Dining,3.4,,,,37.37621318,-84.33180396,,,,
Lola's Restaurant,,"4105 E Laurel Rd, London, KY 40741",London,Laurel ,KY,40741,(606) 877-9320,Dining,3.2,,,,37.09456974,-83.98908272,,,,
Los Cazadores,,105 E Main St,Mt. Vernon,Rockcastle,KY,40456,(606) 392-2041,Dining,3.4,,,,37.35331588,-84.33958516,,,,
Lucas Cinemas Maysville 4,,1579 US-68,Maysville ,Mason,KY ,41056,(606) 759-8735,Recreation,11,,,,38.63142,-83.79832,,https://lucascinemas.com/,,
Marcella's Farm to Fork,,"216 Cedar Rapids Road, Mt Vernon, KY 40456",Mt. Vernon,Rockcastle,KY,40456,(606) 256-2000,Dining,3.4,,,,37.3540503,-84.38341662,,,,
Maysville Food Mart,,906 US-68,Maysville ,Mason,KY,41056,(606) 564-0060,Grocery and Gas,13.1,13.2,,,38.64272,-83.77985,,,,
Maysville Market Square,,381 Market Square Dr,Maysville ,Mason,KY ,41056,,Shopping/Retail,14.1,14.2,13.1,13.2,39.62685,-83.79213,,https://www.midlandatlantic.com/maysville-marketsquare,https://www.facebook.com/dunhamssportinggoods,
Memorial Park,,"W Jefferson St, Berea, KY 40403",Berea,Madison,KY,40403,(859) 986-9402,Parks,12.4,,,,37.57284516,-84.29818522,,http://bereaky.gov/government/city-departments/parks-recreation/parks-facilities/memorial-park/,,
Mi Camino Real,,1569 US Highway 68,Maysville,Mason,KY,41056,(606) 759-7993,Dining,3.4,,,,38.6326,-83.79817,,,,
Micheal Food Mart,,"241 Bethlehem Rd, Paris, KY 40361",Paris,Bourbon,KY,40361,(859) 749-1755,Grocery and Gas,13.2,,,,38.21086347,-84.25502008,,,,
Middlesboro Crater,,,,Bell ,KY,,,Boone Trace Markers,1.3, ,,,36.37,-83.44,,,,
Moon River Bed & Breakfast,,320 Market St Cox Row,Maysville ,Mason,KY ,41056,(606) 563-8812,Lodging,2.1,,,,38.64602,-83.76565,stay@moonriverbedandbreakfast.com,https://www.moonriverbedandbreakfast.com/,,
Mountain Life Museum,,"998 Levi Jackson Mill Road London, Kentucky, 40744",London,Laurel ,KY,40741,(606) 878-8000,Cultural,9.3,,,,37.19180731,-84.04251928,,,,
M's Eatery,Melissa ,1201 E Second St,Maysville ,Mason,KY,41056,(606) 584-5855,Dining,3.4,,,,38.64366,-83.73987,,,https://www.facebook.com/mseatery/,
National Underground Railroad Museum,,38 W 4th St,Maysville ,Mason,KY ,41056,(606) 564-3200,Cultural,9.3,9.4,,,38.64726,-83.76752,,https://www.nurm.org/,,
Noodle Nirvana,,"315 Chestnut St, Berea, KY 40403",Berea,Madison,KY,40475,(859) 756-6447,Dining,3.4,,,,37.56905895,-84.29550156,,http://www.noodlenirvanaky.com/,,
North Central 4-H Center,Kevin Pettigrew,260 Camp Dr.,Carlisle,Nicholas,KY,40311,(859) 289-5308,Recreation,11.1,11.3,11.4,7.1,38.34293529,-84.03032174,kevin.pettigrew@uky.edu,,,
North Central 4-H Center,Kevin Pettigrew,261 Camp Dr.,Carlisle,Nicholas,KY,41156.53836,(859) 289-5309,Recreation,14.1,,,,38.34293529,-84.03032174,kevin.pettigrew@uky.edu,,,
OH! KENTUCKY CAMPGROUND & RV PARK,,"562 Paint Lick Rd, Berea, KY 40403",Berea,Madison,KY,40403,(859) 986-1150,Campground,7.2,,,,37.5673245,-84.323034,,http://www.ohkentuckyrvpark.com/,,
OYO Hotel,,1798 S Wilderness Rd,Mt Vernon,Rockcastle,KY,40456,(606) 332-2293,Lodging,2.2,,,,37.36756411,-84.31245408,,,,
Papaleno's,,"108 Center St, Berea, KY 40403",Berea,Madison,KY,40475,(859) 986-4497,Dining,3.4,,,,37.57296179,-84.28856845,,http://www.papalenos.com/,,
Parc Cafe,Bruce,35 E Second St,Maysville ,Mason,KY,41056,(606) 564-9704,Coffee,5.1,3.2,,,38.64752,-83.76294,manager@parccafe.net,parc.cafe/,https://www.facebook.com/ParcCafeMaysville/,
Paris-Bourbon County Farmers Market,,"1822 Main St, Paris, KY 40361",Paris,Bourbon,KY,40361, (859) 900-0330,,13.4,,,,38.21011478,-84.25274199,,https://bourbontownpharmacy.com/,,
Parkway Mini Mart,,"49 McWhorter Rd London, KY",London,Laurel,KY,40741,(606) 864-7803,Shopping/Retail,14.5,,,,37.23951162,-84.05361621,,,,
PeaceCraft,,"128 S Main St, Berea, KY 40403",Berea,Madison,KY,40403,(859) 986-7441,Shopping/Retail,14.3,,,,37.57278135,-84.28857812,,http://www.peacecraftinberea.com/,,
Pine Mountain Bed & Breakfast ,,"200 Park Ave.,",Pineville,Bell,KY,40977,,Lodging,2.1,,,,36.76025221,-83.69726717,,,,
Pine Mountain State Park Resort,,1050 State Park Road,Pineville,Bell,KY,40977,(606) 337-3066,Lodging,2.5,3.4,,,36.73627183,-83.73793562,rita.jackson-edmondson@ky.gov,,https://parks.ky.gov/pineville/parks/resort/pine-mountain-state-resort-park,
Pine Mountain State Resort Park,,1050 State Park Road,Pineville,Bell,KY,40977,(606) 337-3066,Recreation,11.1,2.5,14.3,,36.73628903,-83.73787125,https://parks.ky.gov/pineville/parks/resort/pine-mountain-state-resort-park,,,
Pinnacles at Indian Fort Mountain,,,Berea,Madison,KY,,,Recreation,11.1,,,,37.55399039,-84.2406865,,,,
Pizza-N-More,Mark,325 W Walnut St,Mt Olivet ,Robertson,KY,41064,(606) 724-5585,Grocery and Gas,13.2,,,,"38.54916937226667, ",-84.04665404,,,,
Racoon Springs,,,London ,Laurel ,KY,,,Boone Trace Markers,20,13,,,,,,,,
Red Hill Horse Camp,,,Livingston,Rockcastle,KY,,,Campground,7.1,,,,37.34494127,-84.18797462,,,,
Renfro Valley Entertainment Center,,62 US 25 ,Mt Vernon,Rockcastle,KY,404073,(606) 256-2664,Recreation,11.3,,,,37.38730095,-84.330872,,,,
Rio Grande,,"305 Chestnut St, Berea, KY 40403",Berea,Madison,KY,40475,(859) 985-0314,Dining,3.4,,,,37.56944147,-84.29440575,,,,
River Ridge Campground,,1385 Harding Rd,Mt Olivet,Robertson ,KY,41064,(606) 842-1385,Spirits/Beverage,6.1,,,,"38.55435221224216, ",-84.14786175,,https://www.riverridgecampground.com/,,
Robinson's Market,,"5578 Highway 490, East Bernstadt, KY 40729-7130.",East Bernstadt,Laurel,KY,40729,(606) 843-0453,Shopping/Retail,13.1,,,,37.33759402,-84.1085473,,,,
Rockcastle Outdoor Company,,9160 Main St,Livingston,Rockcastle,KY,40445,,Outfitters,4.2,,,,37.29898104,-84.21639122,,,,
Rockcastle River Ford ,,,Livingston ,Rockcastle ,KY,,,Boone Trace Markers,20,,,,,,,,,
Rockcastle River Trading Company,,"13855 S Wilderness Rd, Livingston, KY 40445",Livingston,Rockcastle,KY,40456,(606) 843-0854,Outfitters,4.2,14.4,,,37.3126801,-84.24546237,,,,
Rockcastle Riverside Campground,,4211 Lower River Road,Livingston,Rockcastle,KY,40445,(859) 321-0903,Recreation,11.3,12.3,7.1,4.2,37.22734353,-84.26203105,,https://www.rockcastleriverside.com/camp,,
Rose's Petal Shoppe,Rosalee King, ,Mt Olivet ,Robertson,KY,41064,(606) 724-5339,Shopping/Retail,14.3,,,,"38.52809921692896, ",-84.03119311,,,,
Russell Theatre,,9 E Third St,Maysville ,Mason,KY ,41056,,Cultural,9.5,,,,38.64685,-83.76454,russelltheatre.org@gmail.com ,https://russelltheatre.org/,,
Saddlebrook Outdoors, ,"543 W Laurel Rd # 1, London, KY 40741",London,Laurel,KY,40741,(606) 862-2512,Shopping/Retail,14.5,,,,37.10426256,-84.10799992,,,,
Sauced,,107 S. Pine Street,Pineville,Bell,KY,40977,606) 654-2321,Dining,3.2,,,,36.76150091,-83.69503927,,,,
Shades Cafe & Steakhouse,,2119 Cumberland Ave Front,Middlesboro,Bell,KY,40965,"(606) 248-4315
",Dining,3.4,,,,36.60714384,-83.71667027,,,https://www.shadescafeandsteakhouse.com/,
Smokehouse Grill & Buffet,,"359 Old Peggy Flat Rd, Berea, KY 40403",Berea,Madison,KY,40475,(859) 986-0830,Dining,3.4,,,,37.59864538,-84.31851283,,https://m.facebook.com/SmokehouseGrillAndBuffet/,,
Snack Shack,,405 Richmond St,Mt. Vernon,Rockcastle,KY,40456,(606) 256-2212,Dining,3.2,,,,37.35871178,-84.33890579,,,,
State Forest Cabin,,,Pineville,Bell,KY,40977,,Lodging,2.5,,,,36.73579744,-83.73374135,,,,
Sunflower Sundries,Jennifer, 434 Dividing Ridge Rd,Mt Olivet ,Robertson,KY,41064,(606) 763-6827,Shopping/Retail,14.3,,,,"38.51505938735879, ",-83.94957122,jennifer@sunflowersundries.com,https://www.sunflowersundries.com/,https://www.facebook.com/sunflowersundries/,
Susie's Flowers,,5280 Concrete Rd,Carlisle,Nicholas,KY,40311,(859) 289-2094,Shopping/Retail,14.3,,,,38.31360715,-84.0373435,,,,
The Abbey Restaurant,,132 N Main St,London,Laurel,KY,40741,(606) 864-0044,Dining,3.4,,,,37.13016184,-84.08413213,,https://www.facebook.com/theAbbeyLondonKY,,
The Bird House,,,London,Laurel,KY,40701,,Lodging,2.5,,,,37.17429679,-84.21841137,,,,
The Narrows Water Gap ,,,,Bell ,KY,,,Boone Trace Markers,20,1.3,,,36.3615,-83.4025,,,,
The Old Barn,,345 Highway 62 Ste 345,Mt Olivet ,Robertson,KY,41064,(606) 724-2442,Grocery and Gas,13.1,,,,"38.54272499535718, ",-84.00957519,,,,
The Old Pogue Distillery,,715 Germantown Rd,Maysville ,Mason,KY ,41056,,Spirits/Beverage,6.5,,,,38.66212,-83.78007,tours@oldpogue.com,https://www.oldpogue.com/,,
The Old Town Grill,,"25 Dogpatch Trading Ctr London, KY 40741",London,Laurel,KY,40701,(606) 862-1684,Dining,3.4,,,,37.2230789,-84.12502733,,,,
The Oven Mitt,,314 Knox St,Barbourville,Knox,KY,40906,(606) 545-0304,Dining,3.4,,,,36.86749838,-83.88529096,TONYLIFORD@MSN.COM,https://www.theovenmittbarbourville.com/,,
The Rock Cafe,,,Paris,Bourbon,,,,Dining,3.4,,,,38.19400648,-84.27677053,,,,
The Ugly Mug Coffee House,,103 W Knox St,Barbourville,Knox,KY,40906,(606) 689-3210,Coffee,5.1,,,,36.8668823,-83.8881553,,,https://www.facebook.com/TheUglyMugCoffeeHouse?_rdc=1&_rdr,
Track's Restaurant and Bourbon, ,5323 Concrete Rd,Carlisle,Nicholas,KY,41505.28308,859-289-6792,Dining,3.4,,,,38.31316867,-84.03799704,,,"Tracks Restaurant - Home - Carlisle, Kentucky - Menu, Prices, Restaurant Reviews | Facebook",
Trackside,,"2 Bank Row St, Paris, KY 40361",Paris,Bourbon,KY,40361,(859) 707-3835,Dining,3.4,6.2,,,38.20701829,-84.25153766,craigsdowntown@gmail.com,https://www.facebook.com/Craigs-Downtown-1154502688016834/,,
Twitty's Fort,,,Richmond,Madison ,KY,,,Boone Trace Markers,20,,,,37.70748601,-84.28013183,,,,
Washington Visitors Center,,2028 Old Main St,Maysville ,Mason,KY ,41056,(606) 759-7411,Information,15.1,,,,38.61629,-83.80849,info@maysvilleky.net,https://www.cityofmaysville.com/contact/washington-visitors-center/,,
Weaver's on 4th,,133 E 4th St,London,Laurel,KY,40741,(606) 864-9937,Shopping/Retail,13.1,,,,37.18772912,-84.07558895,,,,
Wood Creek Lodge,,"1961 Moriah Rd, London, KY 40741",London,Laurel,KY,40741,(606) 878-0972,Dining,2.2,,,,37.18962267,-84.20742458,,,,
Yamato Japanese Steakhouse,,445 N 12th St,Middlesboro,Bell,KY,40965,(606) 896-8118,Dining,3.4,,,,36.65441995,-83.70658853,,,,
