Name,Address,City,County,State,Zip Code,Phone,Latitude,Longitude,Category 1,Category 2,Category 3,Category 4,Yelp,TripAdvisor
New China Express ,2 Cumberland Vlg,Middlesboro,Bell,KY,40965,(606) 248-2000,36.607497,-83.711133,3.20,3.40,3.50,,https://www.yelp.com/biz/new-china-express-middlesboro,https://www.tripadvisor.co.nz/Restaurant_Review-g60782-d11974794-Reviews-New_China_Express-Middlesboro_Kentucky.html
Papa John's Pizza ,1012 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-7272,36.613022,-83.702042,3.10,3.50,,,https://www.yelp.com/biz/papa-johns-pizza-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4623960-Reviews-Papa_Johns_Pizza-Middlesboro_Kentucky.html
Pelancho's,605 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-0303,36.615000,-83.704100,3.40,3.50,,,https://www.yelp.com/biz/pelanchos-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d2035211-Reviews-Pelancho_s-Middlesboro_Kentucky.html
Pilot Travel Center,3000 Us Highway 25 E,Middlesboro,Bell,KY,40965,(606) 248-7161,36.609598,-83.701883,13.20,,,,https://www.yelp.com/biz/pilot-travel-center-middlesboro,
Pinnacle Overlook,Pinnacle View Rd,Middlesboro,Bell,KY,40965,N/A,36.606547,-83.669347,1.60,11.10,12.20,,https://www.yelp.com/biz/pinnacle-at-cumberland-gap-national-park-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d23602397-Reviews-Pinnacle_Overlook-Middlesboro_Kentucky.html
Royal Waffle King,US Highway 25 E & N 12th St,Middlesboro,Bell,KY,40965,(606) 248-5003,36.613291,-83.722286,3.20,3.40,3.50,,https://www.yelp.com/biz/royal-waffel-king-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d5095442-Reviews-Waffle_King-Middlesboro_Kentucky.html
Sagebrush Steakhouse,910 12th St,Middlesboro,Bell,KY,40965,(606) 302-4208,36.618802,-83.703037,3.40,,,,https://www.yelp.com/biz/sagebrush-steakhouse-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d12102321-Reviews-Sagebrush_Steakhouse_Middlesboro-Middlesboro_Kentucky.html
Save A Lot,415 Dansbury Ave,Middlesboro,Bell,KY,40965,(606) 248-0380,36.614471,-83.706795,13.10,,,,https://www.yelp.com/biz/save-a-lot-middlesboro-2,
Shades Cafe & Steakhouse,2119 Cumberland Ave Front,Middlesboro,Bell,KY,40965,"(606) 248-4315
",36.607144,-83.716670,3.30,5.10,,,https://www.yelp.com/biz/shades-cafe-and-steak-house-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4356155-Reviews-Shades_Cafe_Steakhouse-Middlesboro_Kentucky.html
Shell,1501 Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 248-4452,36.610800,-83.710600,13.20,,,,https://www.yelp.com/biz/shell-food-mart-middlesboro,
Sleep Inn & Suites,1260 N 12th St,Middlesboro,Bell,KY,40965,(606) 576-7829,36.624475,-83.702054,2.20,,,,https://www.yelp.com/biz/sleep-inn-and-suites-middlesboro,https://www.tripadvisor.com/Hotel_Review-g60782-d1886200-Reviews-Sleep_Inn_Suites_Middlesboro-Middlesboro_Kentucky.html
Sonic Drive-In,220 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-2188,36.612717,-83.702677,3.10,3.20,3.50,,https://www.yelp.com/biz/sonic-drive-in-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4638750-Reviews-Sonic_Drive_In-Middlesboro_Kentucky.html
Su Taco Casa,905 N 12th St # 26,Middlesboro,Bell,KY,40965,(606) 248-4514,36.609276,-83.752640,3.20,3.40,3.50,,https://www.yelp.com/biz/taco-casa-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d5084822-Reviews-Taco_Casa-Middlesboro_Kentucky.html
Subway ,485 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-5464,36.612820,-83.704600,3.10,3.20,3.50,,https://www.yelp.com/biz/subway-middlesborough?osq=Subway,https://www.tripadvisor.com/Restaurant_Review-g60782-d4621616-Reviews-Subway-Middlesboro_Kentucky.html
Taco Bell,1231 N 12th St,Middlesboro,Bell,KY,40965,(606) 242-2750,36.613022,-83.702042,3.10,,,,https://www.yelp.com/biz/taco-bell-middlesboro-2,https://www.tripadvisor.com/Restaurant_Review-g60782-d4977357-Reviews-Taco_Bell-Middlesboro_Kentucky.html
The Palace,2008 W Cumberland Ave,Middlesboro,Bell,KY,40965,(606) 302-2178,36.607400,-83.714700,1.20,3.40,9.10,14.50,https://www.yelp.com/biz/the-palace-middlesboro,https://www.tripadvisor.com/Attraction_Review-g60782-d10818473-Reviews-The_Palace-Middlesboro_Kentucky.html
The Table Coffee House,1100 N 25th St,Middlesboro,Bell,KY,40965,(606) 302-5152,36.618801,-83.722029,3.40,5.10,,,https://www.yelp.com/biz/the-table-coffee-house-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d19100938-Reviews-The_Table_Coffee_House-Middlesboro_Kentucky.html
Tri-state Point,N/A,Middlesboro,Bell,KY,40965,N/A,36.600820,-83.677606,1.60,11.10,12.20,,,https://www.tripadvisor.com/Attraction_Review-g60782-d23602391-Reviews-Tri_state_Point-Middlesboro_Kentucky.html
Walmart Supercenter,"Us Hwy 441, US-25E Scenic",Middlesboro,Bell,KY,40965,(606) 248-9087,36.622050,-83.707681,13.10,14.20,,,https://www.yelp.com/biz/walmart-supercenter-middlesboro,
Wendy's ,1275 N 12th St,Middlesboro,Bell,KY,40965,(606) 248-4392,36.613022,-83.702042,3.10,,,,https://www.yelp.com/biz/wendys-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d4662146-Reviews-Wendy_s-Middlesboro_Kentucky.html
Yamato Japanese Steakhouse,445 N 12th St,Middlesboro,Bell,KY,40965,(606) 896-8118,36.654420,-83.706589,3.40,3.50,,,https://www.yelp.com/biz/yamato-japanese-steakhouse-middlesboro,https://www.tripadvisor.com/Restaurant_Review-g60782-d16864893-Reviews-Yamato_Japanese_Steakhouse-Middlesboro_Kentucky.html
Burger Hut,"105 Park Ave,",Pineville,Bell,KY,40977,(606) 337-5476,36.759609,-83.695998,3.20,3.40,3.50,,,https://www.tripadvisor.com/Restaurant_Review-g39753-d4714202-Reviews-Burger_Hut-Pineville_Kentucky.html
Chenoa Country Store,84 Hatfield Ln,Pineville,Bell,KY,40977,(606) 337-5936,36.662895,-83.884813,13.20,,,,,
Engle's Drive In,235 Riverview Rd,Pineville,Bell,KY,40977,(606) 337-6145,36.767555,-83.716146,3.20,3.40,3.50,,https://www.yelp.com/biz/engles-drive-in-pineville,https://www.tripadvisor.com/Restaurant_Review-g39753-d5019016-Reviews-Engle_s_Drive_In-Pineville_Kentucky.html
Fashion Exchange,Kentucky Ave,Pineville,Bell,KY,40977,(606) 302-0366,36.768427,-83.711805,14.20,14.60,,,,
Gem City Cakes,104 e Kentucky Ave,Pineville,Bell,KY,40977,(606) 654-2361,36.761062,-83.697793,3.50,5.30,,,https://www.yelp.com/biz/gem-city-cakes-pineville,
Herndon J Evans Lodge,1050 State Park Rd,Pineville,Bell,KY,40977,(800) 325-1712,36.736095,-83.737989,2.30,3.40,12.20,,,
KFC,117 N Pine St,Pineville,Bell,KY,40977,(606) 337-6717,36.761187,-83.695348,3.10,,,,https://www.yelp.com/biz/kfc-pineville,https://www.tripadvisor.com/Restaurant_Review-g39753-d15041541-Reviews-Kentucky_Fried_Chicken-Pineville_Kentucky.html
Lee's Food Mart,12645 Robert L Madon Byp,Pineville,Bell,KY,40977,(606) 337-5030,36.619822,-83.720132,13.20,,,,https://www.yelp.com/biz/lees-food-mart-11-pineville,
Leonz House of Steak and Subs,212 Walnut St,Pineville,Bell,KY,40977,(606) 654-2057,36.761144,-83.698594,3.40,,,,https://www.yelp.com/biz/leonz-house-of-steak-and-subs-pineville,https://www.tripadvisor.com/Restaurant_Review-g39753-d23325442-Reviews-Leons-Pineville_Kentucky.html
Long's Pic Pac,134 Pine St,Pineville,Bell,KY,40977,(606) 337-3411,36.761366,-83.695262,5.30,13.10,13.50,,https://www.yelp.com/biz/longs-pic-pac-pineville,
Pine Mountain Bed & Breakfast ,200 Park Ave,Pineville,Bell,KY,40977,(606) 896-0501,36.760252,-83.697267,1.30,2.10,,,,https://www.tripadvisor.com/Hotel_Review-g39753-d21268656-Reviews-Pine_Mountain_B_B-Pineville_Kentucky.html
Pine Mountain State Resort Park,1050 State Park Road,Pineville,Bell,KY,40977,(606) 337-3066,36.736289,-83.737871,12.20,,,,https://www.yelp.com/biz/pine-mountain-state-resort-park-pineville,https://www.tripadvisor.com/Hotel_Review-g39753-d488705-Reviews-Pine_Mountain_State_Resort_Park-Pineville_Kentucky.html
Pizza Hut,US Highway 25e,Pineville,Bell,KY,40977,(606) 337-6724,36.762030,-83.694918,3.10,,,,https://www.yelp.com/biz/pizza-hut-pineville-2,https://www.tripadvisor.com/Restaurant_Review-g39753-d15842423-Reviews-Pizza_Hut-Pineville_Kentucky.html
Sauced,107 S. Pine Street,Pineville,Bell,KY,40977,(606) 654-2321,36.761501,-83.695039,3.20,3.40,3.50,,https://www.yelp.com/biz/sauced-craft-pizza-pasta-and-salad-pineville-2,https://www.tripadvisor.com/Restaurant_Review-g39753-d12987836-Reviews-Sauced-Pineville_Kentucky.html
State Forest Cabin,Cottage Rd,Pineville,Bell,KY,40977,(606) 337 3066,36.735797,-83.733741,2.50,12.20,,,,
The Butcher's Pub,112 Kentucky Ave,Pineville,Bell,KY,40977,(606) 337-8299,36.761097,-83.698144,3.40,6.20,,,https://www.yelp.com/biz/the-butchers-pub-pineville,https://www.tripadvisor.com/Restaurant_Review-g39753-d16708748-Reviews-The_Butcher_s_Pub-Pineville_Kentucky.html
Warren's Payphone/ Pig's,433 Morris St,Pineville,Bell,KY,40977,(606) 337-8974,36.766068,-83.687185,13.10,13.20,,,https://www.yelp.com/biz/warrens-payphone-pineville,
1928 Home in the Heart of Cumberland Gap,N/A,Cumberland Gap,Claiborne,TN,37724,N/A,N/A,N/A,2.50,,,,,https://www.tripadvisor.com/VacationRentalReview-g54991-d18335271-1928_Home_in_the_Heart_of_Cumberland_Gap-Cumberland_Gap_Tennessee.html
Cumberland Gap Inn,630 Brooklyn St,Cumberland Gap,Claiborne,TN,37724,(423) 869-3996,36.598124,-83.670189,2.30,,,,https://www.yelp.com/biz/cumberland-gap-inn-cumberland-gap-2,https://www.tripadvisor.com/Hotel_Review-g54991-d516397-Reviews-Cumberland_Gap_Inn-Cumberland_Gap_Tennessee.html
Dixie Plaza Motel,2165 US-25 E,Cumberland Gap,Claiborne,TN,37724,(423) 626-4247,36.463939,-83.574518,2.20,,,,https://www.yelp.com/biz/dixie-plaza-hotel-tazewell-2,https://www.tripadvisor.com/Hotel_Review-g55372-d1528597-Reviews-Dixie_Plaza_Motel-Tazewell_Tennessee.html
Flour Baby's Bakery,704 Brooklyn St,Cumberland Gap,Claiborne,TN,37724,N/A,36.598696,-83.670411,5.30,,,,https://www.yelp.com/biz/flour-baby-bakery-cumberland-gap,https://www.tripadvisor.com/Restaurant_Review-g54991-d17441022-Reviews-Flour_Baby_s_Bakery-Cumberland_Gap_Tennessee.html
Gap Creek Coffee House,710 Pinnacle Alley,Cumberland Gap,Claiborne,TN,37724,(423) 801-3100,36.599220,-83.671419,5.10,,,,https://www.yelp.com/biz/gap-creek-coffee-house-cumberland-gap,https://www.tripadvisor.com/Restaurant_Review-g54991-d4824091-Reviews-Gap_Creek_Coffeehouse-Cumberland_Gap_Tennessee.html
The Olde Mill Inn Bed & Breakfast,603 Pennlyn Ave,Cumberland Gap,Claiborne,TN,37724,(423) 869-0868,36.600251,-83.670470,2.10,2.30,,,https://www.yelp.com/biz/olde-mill-inn-bed-and-breakfast-cumberland-gap,https://www.tripadvisor.com/Hotel_Review-g54991-d263446-Reviews-The_Olde_Mill_Inn_Bed_Breakfast-Cumberland_Gap_Tennessee.html
